"";"Parameter";"Median";"CI";"CI_low";"CI_high";"Rhat";"ESS";"System"
"35";"Year";0,01745905;0,95;-0,138151725;0,1765198;1,00002508749239;4053,42932188336;"Terrestrial"
"33";"Pollution0";0,190534;0,95;0,143816925;0,236723475;0,999988519540016;12078,3392456751;"Terrestrial"
"34";"Pollution1";0,06001125;0,95;-0,30838835;0,423458975;1,00014020074851;9171,33344788633;"Terrestrial"
"18";"Habitat loss1";0,02154985;0,95;-0,11737485;0,1574694;0,999914435380076;8701,30992198216;"Terrestrial"
"4";"Climate change1";0,1519005;0,95;-0,14972855;0,45553435;1,00003300793069;8516,68528833637;"Terrestrial"
"22";"Invasive1";0,08544945;0,95;-0,261284025;0,43125275;0,999807670961157;7295,31627303548;"Terrestrial"
"7";"Exploitation1";-0,0504185;0,95;-0,24163865;0,14221915;1,00014995313011;9114,81614027573;"Terrestrial"
"5";"Disease1";-0,2959425;0,95;-0,621649275;0,0358459249999999;0,999817558526305;9412,37110611598;"Terrestrial"
"30";"Pollution.Habitat loss1";-0,425875;0,95;-0,9468319;0,10190335;0,999827512739655;9065,28373904309;"Terrestrial"
"23";"Pollution.Climate change1";0,1554705;0,95;-1,40036025;1,71088525;1,00030880899745;13451,4499205206;"Terrestrial"
"32";"Pollution.Invasive1";0,195899;0,95;-1,27263025;1,658472;0,99976999036015;12249,8913741869;"Terrestrial"
"25";"Pollution.Exploitation1";0,438534;0,95;-0,23573815;1,105812;1,00032549540824;10658,673597109;"Terrestrial"
"24";"Pollution.Disease1";1,50886;0,95;0,14171455;2,862202;0,999940401213323;10124,7465437971;"Terrestrial"
"11";"Habitat loss.Climate change1";-0,112847;0,95;-0,540792675;0,301093825;1,00019042370613;7913,0289450824;"Terrestrial"
"17";"Habitat loss.Invasive1";-0,0461771;0,95;-0,550211975;0,465111;0,999880665894047;7420,8641163662;"Terrestrial"
"14";"Habitat loss.Exploitation1";-0,038435;0,95;-0,3086793;0,240314225;0,99980405824266;7501,79368272508;"Terrestrial"
"12";"Habitat loss.Disease1";-0,0808725;0,95;-0,7498159;0,5795893;0,999816337263081;8605,16206126574;"Terrestrial"
"3";"Climate change.Invasive1";-0,1933645;0,95;-0,938376875;0,567234925;1,0000564049507;10206,860831723;"Terrestrial"
"2";"Climate change.Exploitation1";0,288497;0,95;-0,9582886;1,54542675;0,999907372793989;6501,89508501099;"Terrestrial"
"1";"Climate change.Disease1";0,002057985;0,95;-1,5597365;1,60755525;0,999850803810528;14549,0643520702;"Terrestrial"
"21";"Invasive.Exploitation1";0,767405;0,95;-0,415218425;1,96914225;0,999811064609843;8155,31567485621;"Terrestrial"
"19";"Invasive.Disease1";0,6934605;0,95;-0,00329365899999994;1,384784;1,00018368872874;8333,67493364497;"Terrestrial"
"6";"Exploitation.Disease1";-0,264854;0,95;-0,923327825;0,402156125;0,999954041606754;9687,53114614229;"Terrestrial"
"26";"Pollution.Habitat loss.Climate change1";0,140111;0,95;-1,385706;1,6917145;1,00067970514067;12091,6260036726;"Terrestrial"
"29";"Pollution.Habitat loss.Invasive1";0,2451795;0,95;-1,304558;1,7616785;0,999832511010683;11941,9502310683;"Terrestrial"
"28";"Pollution.Habitat loss.Exploitation1";-0,2577505;0,95;-1,620617;1,0872945;0,999990853467057;11793,0340293842;"Terrestrial"
"27";"Pollution.Habitat loss.Disease1";-0,330953;0,95;-1,77947775;1,110311;1,00009742409566;10073,0833679392;"Terrestrial"
"31";"Pollution.Invasive.Exploitation1";-0,02627915;0,95;-1,811183;1,72332625;0,99991403773411;18838,1096377914;"Terrestrial"
"10";"Habitat loss.Climate change.Invasive1";0,08216905;0,95;-0,959240775;1,10448375;0,999856553608735;10500,6739149146;"Terrestrial"
"9";"Habitat loss.Climate change.Exploitation1";0,3518185;0,95;-0,959285425;1,624434;0,999841911583523;6298,24851577469;"Terrestrial"
"8";"Habitat loss.Climate change.Disease1";0,01032355;0,95;-1,60490375;1,59518625;0,999779533157191;14472,3739046363;"Terrestrial"
"16";"Habitat loss.Invasive.Exploitation1";-0,8633695;0,95;-2,19000825;0,46926425;0,999781488846792;8318,90663357276;"Terrestrial"
"15";"Habitat loss.Invasive.Disease1";-0,256425;0,95;-1,47745125;0,940829649999999;0,999861491489065;9341,76006807271;"Terrestrial"
