"";"System";"threats";"interaction.type";"n";"freq"
"1";"Freshwater";"Climate change";"additive";58;0,878787878787879
"2";"Freshwater";"Climate change";"antagonistic";8;0,121212121212121
"3";"Freshwater";"Climate change";"synergistic";0;0
"4";"Freshwater";"Disease";"additive";42;0,608695652173913
"5";"Freshwater";"Disease";"antagonistic";27;0,391304347826087
"6";"Freshwater";"Disease";"synergistic";0;0
"7";"Freshwater";"Exploitation";"additive";62;0,826666666666667
"8";"Freshwater";"Exploitation";"antagonistic";13;0,173333333333333
"9";"Freshwater";"Exploitation";"synergistic";0;0
"10";"Freshwater";"Habitat loss";"additive";73;0,715686274509804
"11";"Freshwater";"Habitat loss";"antagonistic";29;0,284313725490196
"12";"Freshwater";"Habitat loss";"synergistic";0;0
"13";"Freshwater";"Invasive";"additive";39;0,764705882352941
"14";"Freshwater";"Invasive";"antagonistic";12;0,235294117647059
"15";"Freshwater";"Invasive";"synergistic";0;0
"16";"Freshwater";"Pollution";"additive";55;0,733333333333333
"17";"Freshwater";"Pollution";"antagonistic";20;0,266666666666667
"18";"Freshwater";"Pollution";"synergistic";0;0
"19";"Marine";"Climate change";"additive";60;0,869565217391304
"20";"Marine";"Climate change";"antagonistic";9;0,130434782608696
"21";"Marine";"Climate change";"synergistic";0;0
"22";"Marine";"Disease";"additive";49;0,710144927536232
"23";"Marine";"Disease";"antagonistic";20;0,289855072463768
"24";"Marine";"Disease";"synergistic";0;0
"25";"Marine";"Exploitation";"additive";76;0,745098039215686
"26";"Marine";"Exploitation";"antagonistic";26;0,254901960784314
"27";"Marine";"Exploitation";"synergistic";0;0
"28";"Marine";"Habitat loss";"additive";82;0,803921568627451
"29";"Marine";"Habitat loss";"antagonistic";20;0,196078431372549
"30";"Marine";"Habitat loss";"synergistic";0;0
"31";"Marine";"Invasive";"additive";64;0,688172043010753
"32";"Marine";"Invasive";"antagonistic";29;0,311827956989247
"33";"Marine";"Invasive";"synergistic";0;0
"34";"Marine";"Pollution";"additive";59;0,702380952380952
"35";"Marine";"Pollution";"antagonistic";25;0,297619047619048
"36";"Marine";"Pollution";"synergistic";0;0
"37";"Terrestrial";"Climate change";"additive";63;0,954545454545455
"38";"Terrestrial";"Climate change";"antagonistic";3;0,0454545454545455
"39";"Terrestrial";"Climate change";"synergistic";0;0
"40";"Terrestrial";"Disease";"additive";70;0,933333333333333
"41";"Terrestrial";"Disease";"antagonistic";0;0
"42";"Terrestrial";"Disease";"synergistic";5;0,0666666666666667
"43";"Terrestrial";"Exploitation";"additive";78;0,928571428571429
"44";"Terrestrial";"Exploitation";"antagonistic";0;0
"45";"Terrestrial";"Exploitation";"synergistic";6;0,0714285714285714
"46";"Terrestrial";"Habitat loss";"additive";114;0,95
"47";"Terrestrial";"Habitat loss";"antagonistic";6;0,05
"48";"Terrestrial";"Habitat loss";"synergistic";0;0
"49";"Terrestrial";"Invasive";"additive";72;0,857142857142857
"50";"Terrestrial";"Invasive";"antagonistic";6;0,0714285714285714
"51";"Terrestrial";"Invasive";"synergistic";6;0,0714285714285714
"52";"Terrestrial";"Pollution";"additive";67;0,893333333333333
"53";"Terrestrial";"Pollution";"antagonistic";3;0,04
"54";"Terrestrial";"Pollution";"synergistic";5;0,0666666666666667
