"";"taxon";"threats";"interaction.type";"n";"freq"
"1";"Amphibians";"Climate change";"additive";36;1
"2";"Amphibians";"Climate change";"antagonistic";0;0
"3";"Amphibians";"Climate change";"synergistic";0;0
"4";"Amphibians";"Disease";"additive";66;1
"5";"Amphibians";"Disease";"antagonistic";0;0
"6";"Amphibians";"Disease";"synergistic";0;0
"7";"Amphibians";"Exploitation";"additive";42;1
"8";"Amphibians";"Exploitation";"antagonistic";0;0
"9";"Amphibians";"Exploitation";"synergistic";0;0
"10";"Amphibians";"Habitat loss";"additive";57;1
"11";"Amphibians";"Habitat loss";"antagonistic";0;0
"12";"Amphibians";"Habitat loss";"synergistic";0;0
"13";"Amphibians";"Invasive";"additive";36;1
"14";"Amphibians";"Invasive";"antagonistic";0;0
"15";"Amphibians";"Invasive";"synergistic";0;0
"16";"Amphibians";"Pollution";"additive";42;1
"17";"Amphibians";"Pollution";"antagonistic";0;0
"18";"Amphibians";"Pollution";"synergistic";0;0
"19";"Birds";"Climate change";"additive";72;0,857142857142857
"20";"Birds";"Climate change";"antagonistic";12;0,142857142857143
"21";"Birds";"Climate change";"synergistic";0;0
"22";"Birds";"Disease";"additive";84;1
"23";"Birds";"Disease";"antagonistic";0;0
"24";"Birds";"Disease";"synergistic";0;0
"25";"Birds";"Exploitation";"additive";96;0,941176470588235
"26";"Birds";"Exploitation";"antagonistic";6;0,0588235294117647
"27";"Birds";"Exploitation";"synergistic";0;0
"28";"Birds";"Habitat loss";"additive";114;0,95
"29";"Birds";"Habitat loss";"antagonistic";6;0,05
"30";"Birds";"Habitat loss";"synergistic";0;0
"31";"Birds";"Invasive";"additive";87;0,852941176470588
"32";"Birds";"Invasive";"antagonistic";15;0,147058823529412
"33";"Birds";"Invasive";"synergistic";0;0
"34";"Birds";"Pollution";"additive";87;0,935483870967742
"35";"Birds";"Pollution";"antagonistic";6;0,0645161290322581
"36";"Birds";"Pollution";"synergistic";0;0
"37";"Fish";"Climate change";"additive";36;1
"38";"Fish";"Climate change";"antagonistic";0;0
"39";"Fish";"Climate change";"synergistic";0;0
"40";"Fish";"Disease";"additive";0;NA
"41";"Fish";"Disease";"antagonistic";0;NA
"42";"Fish";"Disease";"synergistic";0;NA
"43";"Fish";"Exploitation";"additive";47;0,92156862745098
"44";"Fish";"Exploitation";"antagonistic";4;0,0784313725490196
"45";"Fish";"Exploitation";"synergistic";0;0
"46";"Fish";"Habitat loss";"additive";56;0,933333333333333
"47";"Fish";"Habitat loss";"antagonistic";4;0,0666666666666667
"48";"Fish";"Habitat loss";"synergistic";0;0
"49";"Fish";"Invasive";"additive";32;0,888888888888889
"50";"Fish";"Invasive";"antagonistic";4;0,111111111111111
"51";"Fish";"Invasive";"synergistic";0;0
"52";"Fish";"Pollution";"additive";17;0,80952380952381
"53";"Fish";"Pollution";"antagonistic";4;0,19047619047619
"54";"Fish";"Pollution";"synergistic";0;0
"55";"Mammals";"Climate change";"additive";34;0,944444444444444
"56";"Mammals";"Climate change";"antagonistic";2;0,0555555555555556
"57";"Mammals";"Climate change";"synergistic";0;0
"58";"Mammals";"Disease";"additive";39;0,764705882352941
"59";"Mammals";"Disease";"antagonistic";12;0,235294117647059
"60";"Mammals";"Disease";"synergistic";0;0
"61";"Mammals";"Exploitation";"additive";63;0,84
"62";"Mammals";"Exploitation";"antagonistic";9;0,12
"63";"Mammals";"Exploitation";"synergistic";3;0,04
"64";"Mammals";"Habitat loss";"additive";76;0,817204301075269
"65";"Mammals";"Habitat loss";"antagonistic";14;0,150537634408602
"66";"Mammals";"Habitat loss";"synergistic";3;0,032258064516129
"67";"Mammals";"Invasive";"additive";48;0,842105263157895
"68";"Mammals";"Invasive";"antagonistic";6;0,105263157894737
"69";"Mammals";"Invasive";"synergistic";3;0,0526315789473684
"70";"Mammals";"Pollution";"additive";45;0,75
"71";"Mammals";"Pollution";"antagonistic";15;0,25
"72";"Mammals";"Pollution";"synergistic";0;0
"73";"Reptiles";"Climate change";"additive";16;0,761904761904762
"74";"Reptiles";"Climate change";"antagonistic";5;0,238095238095238
"75";"Reptiles";"Climate change";"synergistic";0;0
"76";"Reptiles";"Disease";"additive";21;1
"77";"Reptiles";"Disease";"antagonistic";0;0
"78";"Reptiles";"Disease";"synergistic";0;0
"79";"Reptiles";"Exploitation";"additive";51;0,772727272727273
"80";"Reptiles";"Exploitation";"antagonistic";15;0,227272727272727
"81";"Reptiles";"Exploitation";"synergistic";0;0
"82";"Reptiles";"Habitat loss";"additive";36;0,705882352941177
"83";"Reptiles";"Habitat loss";"antagonistic";15;0,294117647058824
"84";"Reptiles";"Habitat loss";"synergistic";0;0
"85";"Reptiles";"Invasive";"additive";9;0,428571428571429
"86";"Reptiles";"Invasive";"antagonistic";12;0,571428571428571
"87";"Reptiles";"Invasive";"synergistic";0;0
"88";"Reptiles";"Pollution";"additive";36;1
"89";"Reptiles";"Pollution";"antagonistic";0;0
"90";"Reptiles";"Pollution";"synergistic";0;0
