"";"Parameter";"Median";"CI";"CI_low";"CI_high";"Rhat";"ESS";"Taxon"
"25";"Year";0,00238868;0,95;-0,054570145;0,0811323025;1,0006325666674;4762,2246197369;"Amphibians"
"23";"Pollution0";0,04961565;0,95;-0,189223275;0,281708375;0,999752344429187;17867,8179215711;"Amphibians"
"24";"Pollution1";1,08582;0,95;-0,30914835;2,47982425;1,00035072438943;12826,3156732714;"Amphibians"
"12";"Habitat loss1";0,2386005;0,95;-0,2934309;0,760520825;0,999835148240408;13732,0170185483;"Amphibians"
"2";"Climate change1";0,304129;0,95;-1,370415;1,97230675;0,999923118697572;17920,164612427;"Amphibians"
"16";"Invasive1";0,869508;0,95;0,01577451;1,69362525;0,999740240878149;16391,6529139695;"Amphibians"
"5";"Exploitation1";0,7890845;0,95;-0,940055675;2,52584975;0,99977886225035;21392,3026353259;"Amphibians"
"3";"Disease1";-0,269503;0,95;-1,6008615;0,9840461;1,00022425119379;13064,103778867;"Amphibians"
"22";"Pollution.Habitat loss1";0,29497;0,95;-1,1948645;1,79936725;0,999939888260153;13013,8725797316;"Amphibians"
"18";"Pollution.Climate change1";0,16598;0,95;-1,58502525;1,92816375;0,999813301916135;17133,8753242361;"Amphibians"
"20";"Pollution.Exploitation1";-0,2672985;0,95;-2,10718275;1,63108675;0,999693822279674;26804,4917408001;"Amphibians"
"19";"Pollution.Disease1";0,169637;0,95;-1,6037025;1,91692075;0,999818911713666;17206,3190574935;"Amphibians"
"7";"Habitat loss.Climate change1";0,1228975;0,95;-1,553764;1,811138;0,999978188990479;20281,6900056075;"Amphibians"
"11";"Habitat loss.Invasive1";0,03037;0,95;-1,63069075;1,67434775;0,999683798830481;17887,4207491215;"Amphibians"
"9";"Habitat loss.Exploitation1";-0,274702;0,95;-2,114185;1,61754075;0,999652964980936;23478,5554735058;"Amphibians"
"8";"Habitat loss.Disease1";-0,5273615;0,95;-1,95630475;0,873491949999999;1,00038290211837;15880,3549288931;"Amphibians"
"1";"Climate change.Disease1";0,278761;0,95;-1,41034575;1,96200975;0,999924042761762;19106,7380848524;"Amphibians"
"15";"Invasive.Exploitation1";1,038815;0,95;-0,781166049999999;2,85218425;0,999870859566572;20970,5405042973;"Amphibians"
"13";"Invasive.Disease1";0,3530725;0,95;-1,04796;1,79236675;1,00017816418754;14307,0508720124;"Amphibians"
"4";"Exploitation.Disease1";1,03301;0,95;-0,813714424999999;2,885319;0,999912027163018;21507,7512500099;"Amphibians"
"21";"Pollution.Habitat loss.Exploitation1";-0,263896;0,95;-2,11025575;1,55332575;0,99995452501395;21917,0578209716;"Amphibians"
"17";"Pollution.Climate change.Disease1";0,151718;0,95;-1,58037;1,8935305;0,999648804009916;22065,8571757508;"Amphibians"
