"Parameter","Median","CI_low","CI_high","Rhat","ESS","system"
"Intercept",-0.001,-0.066,0.064,1,14579.36,"Amphibian"
"scaled_year",0.007,-0.083,0.134,1,3694.44,"Amphibian"
"pollution1",-0.005,-0.3,0.289,1,9882.46,"Amphibian"
"habitatl1",-0.002,-0.137,0.136,1,13599.16,"Amphibian"
"climatechange1",0.002,-0.41,0.425,1,12117.86,"Amphibian"
"invasive1",-0.008,-0.172,0.156,1,14231.75,"Amphibian"
"exploitation1",0.007,-0.401,0.41,1,13772.79,"Amphibian"
"disease1",0.007,-0.304,0.325,1,8199.11,"Amphibian"
"pollution.habitatl1",-0.018,-0.346,0.309,1,9290.12,"Amphibian"
"pollution.climatechange1",0.003,-0.44,0.456,1,11816.81,"Amphibian"
"pollution.exploitation1",0.012,-0.44,0.448,1,14004.2,"Amphibian"
"pollution.disease1",0.003,-0.43,0.449,1,12466.4,"Amphibian"
"habitatl.climatechange1",-0.005,-0.427,0.421,1,13770.74,"Amphibian"
"habitatl.invasive1",0.008,-0.33,0.347,1,12400.51,"Amphibian"
"habitatl.exploitation1",0.009,-0.44,0.454,1,12170.11,"Amphibian"
"habitatl.disease1",0.007,-0.314,0.337,1,8708.66,"Amphibian"
"climatechange.disease1",0.004,-0.418,0.414,1,13073.73,"Amphibian"
"invasive.exploitation1",-0.012,-0.464,0.436,1,14937.05,"Amphibian"
"invasive.disease1",-0.017,-0.356,0.321,1,10051.85,"Amphibian"
"exploitation.disease1",-0.016,-0.467,0.447,1,15948.48,"Amphibian"
"pollution.habitatl.exploitation1",0.012,-0.429,0.449,1,14701.47,"Amphibian"
"pollution.climatechange.disease1",0.005,-0.449,0.466,1,13396.04,"Amphibian"
"habitatl.climatechange.disease1",-0.008,-0.432,0.417,1,12256.46,"Amphibian"
"habitatl.invasive.disease1",0.007,-0.4,0.403,1,13050,"Amphibian"
"invasive.exploitation.disease1",-0.013,-0.46,0.434,1,15033.52,"Amphibian"
"scaled_year:pollution1",-0.206,-0.418,0,1,6658.07,"Amphibian"
"scaled_year:habitatl1",-0.004,-0.08,0.074,1,4933.38,"Amphibian"
"scaled_year:climatechange1",-0.013,-0.422,0.393,1,12429.84,"Amphibian"
"scaled_year:invasive1",-0.043,-0.159,0.063,1,4073.63,"Amphibian"
"scaled_year:exploitation1",-0.031,-0.428,0.363,1,11943.78,"Amphibian"
"scaled_year:disease1",0.011,-0.266,0.282,1,5081.27,"Amphibian"
"scaled_year:pollution.habitatl1",0.027,-0.201,0.257,1,6207.57,"Amphibian"
"scaled_year:pollution.climatechange1",-0.004,-0.452,0.425,1,11973.56,"Amphibian"
"scaled_year:pollution.exploitation1",0.055,-0.372,0.486,1,12214.14,"Amphibian"
"scaled_year:pollution.disease1",-0.006,-0.442,0.438,1,13487.54,"Amphibian"
